Transaction  #,Transaction Date,Transaction Month,Transaction Year,Item  #,Style  #,Description,VendorModel1,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,Image Dir.,AvgWeight,Pay Codes,,
AR-80162299,46245,8,2026,JAR-201710,,NON VAL ARABIC STYLE FANCY GOLD NECKLACE NEEDS ONE SOLDER,,,1,0,190,0,190,VJ-ARDN,,,,,,,"VJA-CASH,",,
AR-80162299,46245,8,2026,JAR-201711,,NON VAL PEARL SILVER NECKLACE NEEDS ONE SOLDER,,,1,0,40,0,40,VJ-ARDN,,,,,,,"VJA-CASH,",,
VS-80161756,46245,8,2026,JVS-200943,,Silver flower fancy neck solder,,,1,0,0,0,0,VJ-SERRA,,,,,,,,,
VS-80161765,46245,8,2026,JVS-200953,,mens ring sku 231618 for cleaning,,,1,0,0,0,0,VJ-SERRA,,,,,,,,,
HE-80000495,46245,8,2026,JHE-199819,,BATTERIES 2 WATCHES,,,1,0,40,0,40,VJ-HEND,,,,,,,"HD-CC,",,
VM-80162819,46245,8,2026,JVM-202378,,SKU 234391S SIZE UP TO 10.5,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VL-80160927,46245,8,2026,JVL-200357,,LADIES BRIDAL SET SIZE 5.5,,,1,0,200,0,200,VJ-LIV,,,,,,,"VJL-CC,",,
GM-80162644,46245,8,2026,JGM-202400,,APP/AM3,,,1,0,0,0,0,DBC-GM,,,,,,,"GM-CC,",,
GM-80162644,46245,8,2026,JGM-202399,,SIZE THE WHITE GOLD RING 14KT RING TO SIZE 6.5,,,1,0,100,0,100,DBC-GM,,,,,,,"GM-CC,",,
VE-80161406,46245,8,2026,JVE-200605,,Fixed the rolex watch its not working,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VI-80161920,46245,8,2026,JVI-201068,,"SKU#224731Y, Please size it to 8.5. First time sizing",,,1,0,0,0,0,VJ-VICTOR,,,,,,,,,
VE-80161471,46245,8,2026,JVE-200688,,ADRIANNA,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VE-80161467,46245,8,2026,JVE-200683,,set up the dia,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VR-80161637,46245,8,2026,JVR-200905,,STRAIGHTEN HEAD AND REROUND SHANK CLEAN/POLISH (NO RHODIUM),,,1,0,250,0,250,VJ-ROSE,,,,,,,"VJR-CC,",,
VR-80161637,46245,8,2026,JVR-200904,,SKU 215182 REPLACE 1 MELEE DIA ON MAIN RING LAST ON BAND,,,1,0,0,0,0,VJ-ROSE,,,,,,,"VJR-CC,",,
FA-80161175,46245,8,2026,JFA-200331,,battery watch,,,1,0,50,0,50,VJ-VAL,,,,,,,"VJVF-CC,",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,46023
